"","FuelModels.description","ros_fullcure","intensity_BTU_ft_fullcure","intensity_kW_m_fullcure","fl_m_fullcure","ros_km_hr_fullcure","ros_two3rdcured","intensity_BTU_ft_two3rdcured","intensity_kW_m_two3rdcured","fl_m_two3rdcured","ros_km_hr_two3rdcured","ros_one3rdcured","intensity_BTU_ft_one3rdcured","intensity_kW_m_one3rdcured","fl_m_one3rdcured","ros_km_hr_one3rdcured","ros_uncured","intensity_BTU_ft_uncured","intensity_kW_m_uncured","fl_m_uncured","ros_km_hr_uncured"
"1","201A",8.87,98.8302058665374,0.0950271235679526,1.13721025287162,0.5322,6.16,68.6351824281703,0.065994033954745,0.961618985257769,0.3696,3.25,36.2117439759015,0.0348182809014483,0.716575981952593,0.195,1.36,15.1532220945311,0.014570111392606,0.479980727091784,0.0816
"2","201G",11.88,321.531399624555,0.309158559118661,1.95665503323183,0.7128,8.7,235.464913866467,0.226403995314171,1.69542099904696,0.522,5.05,136.677909773064,0.131418411073168,1.32011794795676,0.303,2.65,71.7220714650733,0.0689621365037417,0.981277416009141,0.159
"3","202A",8.99,165.359182941041,0.158996000996436,1.44101509671188,0.5394,5.75,105.76365983437,0.101693771493827,1.17323843267115,0.345,2.68,49.2950623228018,0.0473981404527751,0.825811787737492,0.1608,0.87,16.0025015749394,0.0153867097738486,0.492173162672302,0.0522
"4","202G",12.68,81.7457517505377,0.0786000958375389,1.04213862582733,0.7608,8.53,54.9914244820258,0.0528753010642119,0.868414748535723,0.5118,4.24,27.334541594817,0.0262826818888931,0.629620602039844,0.2544,0.76,4.899587644354,0.00471104675366952,0.285538641334941,0.0456
"5","203A",10.88,119.416716754077,0.11482144552439,1.24062766895392,0.6528,7.7,84.5136690263229,0.0812615009685481,1.0582247250469,0.462,4.2,46.0983649234488,0.0443244550737535,0.800731372576124,0.252,2.11,23.1589404734469,0.022267761953719,0.583394190838108,0.1266
"6","203G",14.75,234.699900145385,0.225668420064003,1.69288493714062,0.885,9.45,150.367054669416,0.144580784379988,1.37937307154872,0.567,4.39,69.8530550263214,0.0671650416326083,0.969430748793738,0.2634,0.42,6.68298020752961,0.0064258126391106,0.32936525638051,0.0252
"7","204A",1.68,25.1680747805135,0.0241995828215219,0.606153340029324,0.1008,1.1,16.4790965824791,0.0158449649426632,0.498862510712531,0.066,0.53,7.93992835337629,0.0076343921996468,0.356539074636499,0.0318,0.07,1.0486697825214,0.00100831595089675,0.140502913955142,0.0042
"8","204G",2.39,55.5923961301586,0.0534531467397037,0.872767539753762,0.1434,1.15,26.7494793094905,0.0257201333684767,0.623385300849972,0.069,0.55,12.7932292349737,0.012300933350141,0.444019852474392,0.033,NA,NA,NA,NA,NA
"9","205A",4.39,62.2605948113186,0.0598647466599342,0.919453153459874,0.2634,3.43,48.6455216862922,0.0467735947707459,0.820788423658287,0.2058,2.23,31.6266802800092,0.0304096549092604,0.67331170489099,0.1338,1.34,19.0043729036827,0.0182730661786587,0.532677232326574,0.0804
"10","205G",13.25,588.809813847774,0.566151840400856,2.58452074770588,0.795,9.67,429.720067917583,0.413184022390662,2.23592327590246,0.5802,5.57,247.522314198649,0.237997415172284,1.73481875516374,0.3342,2.91,129.315966663926,0.124339762684263,1.28691983266444,0.1746
"11","206A",21.5,463.796422246879,0.445949085512845,2.31580563230829,1.29,13.21,284.965150599129,0.273999414866264,1.85095436061868,0.7926,5.69,122.744262445802,0.118020944026423,1.25641194542417,0.3414,0.15,3.23578899242009,0.0031112726896245,0.235929579391376,0.009
"12","206G",15.65,374.316116612265,0.359912068935935,2.09836593253486,0.939,9.55,228.416544003011,0.219626853567935,1.67188414955747,0.573,3.98,95.193491636857,0.0915303536335477,1.11776586478266,0.2388,0.06,1.4350777633697,0.00137985457739017,0.16231333631775,0.0036
"13","207A",9.73,102.710004740267,0.0987576240132374,1.15753296822741,0.5838,6.52,68.8252035875169,0.0661767429153451,0.962842732512153,0.3912,3.22,33.9903612809516,0.0326823791698483,0.696009493946797,0.1932,0.56,5.91136717929593,0.00568389202953884,0.311291996676298,0.0336
"14","207G",1.96,43.4192435381551,0.0417484288811374,0.778978266152025,0.1176,1.5,33.2290129118534,0.0319503282253602,0.688794272465691,0.09,0.94,20.8235147580948,0.0200222056878924,0.555554104625903,0.0564,0.53,11.7409178955215,0.0112891159729606,0.426829519945194,0.0318
"15","208A",9.9,152.84952239309,0.146967724334859,1.38980216577427,0.594,5.99,92.4816807206673,0.0889228958349301,1.10300411558156,0.3594,2.36,36.4368558432011,0.0350347302454816,0.718621681212996,0.1416,NA,NA,NA,NA,NA
"16","208G",3.82,39.478337820037,0.0379591730421787,0.745618336330466,0.2292,2.31,23.8730262733731,0.0229543690385949,0.591601060048312,0.1386,0.91,9.40452550163184,0.00904263022732528,0.385413101065266,0.0546,NA,NA,NA,NA,NA
"17","209A",21.1,474.310327757132,0.456058405728708,2.33980837910863,1.266,14.02,315.157857590284,0.303030277171398,1.93871713488966,0.8412,6.83,153.532679553612,0.147624592944411,1.39265610125045,0.4098,1.07,24.0527038246507,0.0231271324232094,0.593645117422913,0.0642
"18","209G",14.71,376.033783640011,0.361563638468378,2.10278980257888,0.8826,9.7,247.962454201775,0.238420618160657,1.73623709420351,0.582,4.67,119.37986197137,0.114786008949512,1.24045152642954,0.2802,0.67,17.1273035376484,0.0164682282647052,0.507795025441518,0.0402
"19","210A",16.09,181.960264353457,0.174958256674317,1.50584656194163,0.9654,9.73,110.03563531132,0.105801357205787,1.19480449546193,0.5838,3.83,43.3131020804064,0.0416463718497598,0.778101723845165,0.2298,NA,NA,NA,NA,NA
"20","210G",5.81,44.2203524319912,0.0425187103267588,0.785557024268396,0.3486,3.86,29.3787539393263,0.0282482309571926,0.650858911558253,0.2316,1.88,14.3088231621589,0.0137582057511715,0.467486749939245,0.1128,0.3,2.28332284502536,0.00219545836454865,0.200970573855717,0.018
"21","211A",5.03,41.7076866293129,0.0401027343442892,0.76469968515212,0.3018,3.04,25.2070312829247,0.0242370402398885,0.606584748732593,0.1824,1.2,9.95014392747027,0.00956725272627179,0.395542370028496,0.072,NA,NA,NA,NA,NA
"22","211G",5.66,233.210684483371,0.224236510866883,1.68793527233641,0.3396,4.12,169.757600719344,0.163225163387201,1.45852188359729,0.2472,2.38,98.063856726223,0.0942902642867812,1.13314537496581,0.1428,1.25,51.5041264318398,0.049522197629612,0.842633723455633,0.075
"23","212A",10.52,66.859933570669,0.0642870983972754,0.950096760487009,0.6312,6.75,42.8996722055148,0.0412488511579476,0.774676412137569,0.405,3.14,19.9562919593062,0.019188354464586,0.544788880918552,0.1884,0.31,1.97020716795698,0.00189439168280945,0.187787627941513,0.0186
"24","212G",13.32,341.894145693998,0.328737726944507,2.01271215869631,0.7992,9.47,243.073390369532,0.233719690252589,1.72040508319847,0.5682,5.21,133.728866296226,0.128582849653219,1.30693828267278,0.3126,2.64,67.7628036510627,0.0651552251601725,0.955977196896062,0.1584
"25","213A",20.5,338.515706605235,0.325489293472778,2.00353882925335,1.23,12.53,206.907405061639,0.198945407181166,1.59752800508886,0.7518,5.27,87.023306039492,0.0836745647122702,1.0725656164254,0.3162,0.1,1.65129612978163,0.00158775265108672,0.173137438310071,0.006
"26","213G",8.57,97.7672014809596,0.0940050246234459,1.1315672490367,0.5142,5.29,60.34871596666,0.0580264387698984,0.906355971077212,0.3174,2.31,26.3526529079366,0.025338577232224,0.619114109818239,0.1386,0.08,0.912645988153649,0.000877526484232867,0.131804605354952,0.0048
"27","214A",13.56,236.879040318018,0.227763704806568,1.70009721764075,0.8136,7.84,136.956613281214,0.131686389799667,1.32135553499322,0.4704,3.38,59.0450705217478,0.0567729588677138,0.897296516118126,0.2028,NA,NA,NA,NA,NA
"28","214G",7.52,93.3851056949675,0.0897915561388774,1.10794756484677,0.4512,5.22,64.8231717723046,0.0623287131708697,0.936671771318421,0.3132,2.75,34.1501383857926,0.032836007896531,0.697512572031905,0.165,1.11,13.7842376757199,0.0132538068236907,0.459523335763749,0.0666
"29","215A",10.93,176.539601192942,0.16974618589638,1.48504252292905,0.6558,6.58,106.279101175623,0.102189378151709,1.17586516896438,0.3948,2.97,47.9709620807903,0.0461249928739478,0.81553307981604,0.1782,0.2,3.23036781688824,0.00310606012619177,0.235747672111308,0.012
"30","215G",3.93,94.7205051129495,0.0910755680904108,1.11520766823383,0.2358,2.5,60.2547742448788,0.0579361120168008,0.90570669447447,0.15,1.15,27.7171961526443,0.0266506115277284,0.633659835685515,0.069,0.1,2.41019096979515,0.00231744448067203,0.206032235056886,0.006
"31","216A",3.93,67.7091928298853,0.0651036773354571,0.955629212912008,0.2358,2.79,48.0683582685445,0.046218641161813,0.816294325865592,0.1674,1.53,26.3600674375889,0.0253457064435749,0.619194232376862,0.0918,0.77,13.2661777300284,0.0127556823278122,0.451496697267194,0.0462
"32","216G",10.24,269.330350471046,0.258966257030512,1.80352738383244,0.6144,6.88,180.956329222734,0.173992953942375,1.50201905523514,0.4128,3.41,89.6891108502214,0.0862377867650435,1.08755636653842,0.2046,0.59,15.518057302531,0.0149209073875002,0.48526244949905,0.0354
"33","217A",5.03,56.0136039064736,0.0538581460317393,0.875803188362365,0.3018,3.5,38.9756687221983,0.0374758471393812,0.74123607751329,0.21,1.91,21.2695792169711,0.0204511051532052,0.560997076079983,0.1146,1.18,13.1403683120554,0.0126347141784199,0.449522021531626,0.0708
"34","217G",15.4,215.346570378591,0.207059825221207,1.62717763331608,0.924,9.65,134.941195074896,0.129748526843159,1.31237515038406,0.579,4.34,60.6885789248756,0.0583532234714311,0.908700380557548,0.2604,0.32,4.47473392994474,0.00430254182277833,0.273869976406425,0.0192
"35","218A",3.6,128.308440411659,0.123371007020621,1.2822978337122,0.216,2.95,105.141638670665,0.101095686308564,1.17005933424534,0.177,2.07,73.7773532367037,0.0709383290368569,0.994113833299748,0.1242,1.36,48.4720774888488,0.0466068248744567,0.8194409365632,0.0816
"36","218G",16.36,557.509054590985,0.536055564757331,2.52038792426546,0.9816,10.79,367.696986493688,0.353547649372348,2.08121495049237,0.6474,5.19,176.86259127917,0.170056747010425,1.4862917154841,0.3114,0.7,23.8542994018148,0.0229363627952403,0.591387541041361,0.042
"37","219A",1.07,54.7428940827787,0.0526363343560828,0.866607156472549,0.0642,0.76,38.8828032737494,0.0373865552435728,0.740423144788311,0.0456,0.42,21.487864967072,0.0206609910556587,0.563638184014729,0.0252,0.22,11.2555483160853,0.0108224238862974,0.418620186239234,0.0132
"38","219G",4.06,149.678248244009,0.14391848389475,1.37646287613948,0.2436,2.67,98.4337248304195,0.0946458995071386,1.13510936706008,0.1602,1.69,62.3044924956588,0.0599069551187507,0.919751302304528,0.1014,1.01,37.2352292429677,0.0358023814615019,0.725822386935286,0.0606
"39","220A",1.8,31.4332120190582,0.0302236314948733,0.671413910813309,0.108,1.21,21.1301036350335,0.0203169967271093,0.559301846354706,0.0726,0.6,10.4777373396861,0.0100745438316244,0.405055522643964,0.036,0.1,1.74628955661434,0.00167909063860407,0.177649906262341,0.006
"40","220G",1.95,20.9484245898433,0.0201423088680117,0.557084575223285,0.117,1.36,14.6101833036856,0.0140479692617928,0.471990340114131,0.0816,0.81,8.70165329116567,0.00836680522209715,0.371884708640238,0.0486,0.44,4.72682401001592,0.00454493123175648,0.28086229720266,0.0264
"41","221A",15.87,249.382976956625,0.239786477820391,1.74080543850884,0.9522,9.84,154.626874181045,0.148676681899977,1.39721292285948,0.5904,4.35,68.3563925495475,0.0657259721813925,0.959820246459961,0.261,0.18,2.82854038136059,0.00271969540060934,0.2217737810356,0.0108
"42","221G",10.38,174.824002912443,0.168096605503781,1.47838651372725,0.6228,6.99,117.728302539304,0.113198003128269,1.23252776217099,0.4194,3.47,58.4430915323869,0.0561941446144625,0.893076718445147,0.2082,0.62,10.4422814841729,0.0100404523518636,0.404424434302279,0.0372
"43","222A",2,29.6565908419223,0.0285153764259613,0.653683116832019,0.12,1.45,21.5010283603937,0.0206736479088219,0.563796987860126,0.087,0.82,12.1592022451881,0.0116913043346441,0.433758344157072,0.0492,0.42,6.22788407680368,0.00598822904945187,0.31885126463599,0.0252
"44","222G",2.55,54.4279125230893,0.0523334735926979,0.864309877995142,0.153,1.99,42.4751160474305,0.040840632333125,0.771140315203721,0.1194,1.29,27.5341204528569,0.0264745807586589,0.631731103727137,0.0774,0.76,16.2216523598227,0.015597427423706,0.495262272333065,0.0456
"45","223A",9.82,115.086581479024,0.110657938059839,1.21972763034913,0.5892,6.06,71.0208435603753,0.068287892529799,0.976852482864227,0.3636,2.64,30.9397734322427,0.0297491809040709,0.666544860275989,0.1584,0.09,1.05476500337191,0.00101417662172969,0.140877985223867,0.0054
"46","223G",10.16,485.043861250279,0.466378902429398,2.36401795256409,0.6096,6.95,331.796735796204,0.319028875185464,1.9851470136292,0.417,3.55,169.47890821245,0.162957195238618,1.45741993973411,0.213,0.72,34.3731870177363,0.0330504734005085,0.69960453013711,0.0432
"47","224A",16.35,310.830031817625,0.298868990337346,1.92642485113316,0.981,10.1,192.011212315475,0.184622434397994,1.54355367395151,0.606,4.41,83.8385590407171,0.0806123698708071,1.05432779289413,0.2646,0.15,2.8516516680516,0.00274191734254446,0.222605496209207,0.009
"48","224G",6.39,120.223364311214,0.11559705250017,1.2444756057645,0.3834,4.22,79.3963376202381,0.0763410894445564,1.02825237352486,0.2532,2.04,38.3811679491198,0.0369042233333875,0.736013652489242,0.1224,0.3,5.64428940428233,0.00542709166667463,0.304741618932397,0.018
"49","225A",7.35,135.600584884371,0.130382542692413,1.31532121031467,0.441,4.39,80.9913697472636,0.0778747431863527,1.03770360803533,0.2634,2.57,47.4140820616099,0.0455895421387076,0.81116440350766,0.1542,1.44,26.5666452018359,0.0255443348948401,0.621421670081472,0.0864
"50","225G",14.41,618.774361115645,0.594963322790431,2.64421258160068,0.8646,11.25,483.081996013255,0.464492531671919,2.35961471851736,0.675,7.28,312.607727197911,0.300578278273028,1.93148513746797,0.4368,4.35,186.791705125125,0.179603778913142,1.5241088832456,0.261
"51","226A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","226G",0.94,3.17822999386714,0.00305592861723306,0.233989706471398,0.0564,0.94,3.17822999386714,0.00305592861723306,0.233989706471398,0.0564,0.94,3.17822999386714,0.00305592861723306,0.233989706471398,0.0564,0.94,3.17822999386714,0.00305592861723306,0.233989706471398,0.0564
"53","227A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","227G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","228A",0.67,5.02768655334471,0.00483421629224175,0.288948785807598,0.0402,0.67,5.02768655334471,0.00483421629224175,0.288948785807598,0.0402,0.67,5.02768655334471,0.00483421629224175,0.288948785807598,0.0402,0.67,5.02768655334471,0.00483421629224175,0.288948785807598,0.0402
"56","228G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","229A",0.76,2.06725868567598,0.00198770856387711,0.191987575499162,0.0456,0.76,2.06725868567598,0.00198770856387711,0.191987575499162,0.0456,0.76,2.06725868567598,0.00198770856387711,0.191987575499162,0.0456,0.76,2.06725868567598,0.00198770856387711,0.191987575499162,0.0456
"58","229G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","230A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","230G",0.71,1.93222128813076,0.00185786753652811,0.18611340783069,0.0426,0.71,1.93222128813076,0.00185786753652811,0.18611340783069,0.0426,0.71,1.93222128813076,0.00185786753652811,0.18611340783069,0.0426,0.71,1.93222128813076,0.00185786753652811,0.18611340783069,0.0426
"61","231A",0.63,1.71580354198525,0.00164977775542375,0.17621650449941,0.0378,0.63,1.71580354198525,0.00164977775542375,0.17621650449941,0.0378,0.63,1.71580354198525,0.00164977775542375,0.17621650449941,0.0378,0.63,1.71580354198525,0.00164977775542375,0.17621650449941,0.0378
"62","231G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","232A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","232G",1.19,16.8489419664809,0.0162005783171211,0.503981873200369,0.0714,0.95,13.4508360236612,0.012933234790979,0.454376825032413,0.057,0.79,11.1854320617814,0.010755005773551,0.417418579811102,0.0474,0.68,9.62796683798908,0.00925747332406922,0.389598623675611,0.0408
"65","233A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","233G",3.61,2.37192006468378,0.00228064627715531,0.204520820820686,0.2166,3.61,2.37192006468378,0.00228064627715531,0.204520820820686,0.2166,3.61,2.37192006468378,0.00228064627715531,0.204520820820686,0.2166,3.61,2.37192006468378,0.00228064627715531,0.204520820820686,0.2166
"67","234A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","234G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","235A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","235G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","236A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","236G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","237A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","237G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","238A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","238G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","239A",2.83,0.929853254737402,0.000894071598488009,0.132941977844211,0.1698,2.83,0.929853254737402,0.000894071598488009,0.132941977844211,0.1698,2.83,0.929853254737402,0.000894071598488009,0.132941977844211,0.1698,2.83,0.929853254737402,0.000894071598488009,0.132941977844211,0.1698
"78","239G",2.32,1.52700144409813,0.00146824094561444,0.167015835525604,0.1392,2.32,1.52700144409813,0.00146824094561444,0.167015835525604,0.1392,2.32,1.52700144409813,0.00146824094561444,0.167015835525604,0.1392,2.32,1.52700144409813,0.00146824094561444,0.167015835525604,0.1392
"79","240A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","240G",5.99,5.90351852329938,0.00567634539744709,0.311101806136213,0.3594,5.99,5.90351852329938,0.00567634539744709,0.311101806136213,0.3594,5.99,5.90351852329938,0.00567634539744709,0.311101806136213,0.3594,5.99,5.90351852329938,0.00567634539744709,0.311101806136213,0.3594
"81","241A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","241G",1.19,6.47139141199709,0.0062223659859101,0.324526698753648,0.0714,1.19,6.47139141199709,0.0062223659859101,0.324526698753648,0.0714,1.19,6.47139141199709,0.0062223659859101,0.324526698753648,0.0714,1.19,6.47139141199709,0.0062223659859101,0.324526698753648,0.0714
"83","242A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","242G",0.3,2.67194966925931,0.00256913045117945,0.216039175034177,0.018,0.3,2.67194966925931,0.00256913045117945,0.216039175034177,0.018,0.3,2.67194966925931,0.00256913045117945,0.216039175034177,0.018,0.3,2.67194966925931,0.00256913045117945,0.216039175034177,0.018
"85","243A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","243G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","244A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","244G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","245A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","245G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
